fixed acidity	volatile acidity	citric acid	residual sugar
5.8	0.26	0.24	9.2
7.5	0.27	0.36	7
5.8	0.26	0.24	9.2
5.7	0.28	0.24	17.5
7.5	0.23	0.36	7
7.5	0.27	0.36	7
7.2	0.685	0.21	9.5
6.2	0.25	0.25	1.4
6.5	0.19	0.3	0.8
6.3	0.495	0.22	1.8
7.1	0.24	0.41	17.8
6.4	0.17	0.32	2.4
7.1	0.25	0.32	10.3
6.4	0.17	0.32	2.4
7.1	0.24	0.41	17.8
6.8	0.64	0.08	9.7
8.3	0.28	0.4	7.8
8.2	0.27	0.39	7.8
7.2	0.23	0.38	14.3
7.2	0.23	0.38	14.3
7.2	0.23	0.38	14.3
7.2	0.23	0.38	14.3
6.8	0.52	0.32	13.2
7	0.26	0.59	1.4
6.2	0.25	0.21	15.55
7.3	0.32	0.23	13.7
7.7	0.31	0.26	7.8
7.1	0.21	0.37	2.4
6.8	0.24	0.34	2.7
6.9	0.4	0.56	11.2
6.1	0.18	0.36	2
6.8	0.21	0.27	2.1
5.8	0.2	0.27	1.4
5.6	0.19	0.26	1.4
6.1	0.41	0.14	10.4
5.9	0.21	0.28	4.6
8.5	0.26	0.21	16.2
6.9	0.4	0.56	11.2
5.8	0.24	0.44	3.5
5.8	0.24	0.39	1.5
6.7	0.26	0.39	1.1
6.3	0.35	0.3	5.7
6.3	0.35	0.3	5.7
6.4	0.23	0.39	1.8
5.8	0.36	0.38	0.9
6.9	0.115	0.35	5.4
6.9	0.29	0.4	19.45
6.9	0.28	0.4	8.2
7.2	0.29	0.4	13.6
6.2	0.24	0.35	1.2
6.9	0.29	0.4	19.45
6.9	0.32	0.26	8.3
5.3	0.58	0.07	6.9
5.3	0.585	0.07	7.1
5.4	0.59	0.07	7
6.9	0.32	0.26	8.3
5.2	0.6	0.07	7
5.8	0.25	0.26	13.1
6.6	0.58	0.3	5.1
7	0.29	0.54	10.7
6.6	0.19	0.41	8.9
6.7	0.2	0.41	9.1
7.7	0.26	0.4	1.1
6.8	0.32	0.34	1.2
7	0.3	0.49	4.7
7	0.24	0.36	2.8
6.1	0.31	0.58	5
6.8	0.44	0.37	5.1
6.7	0.34	0.3	15.6
7.1	0.35	0.24	15.4
7.3	0.32	0.25	7.2
6.5	0.28	0.33	15.7
7.2	0.23	0.39	14.2
7.2	0.23	0.39	14.2
7.2	0.23	0.39	14.2
7.2	0.23	0.39	14.2
5.9	0.15	0.31	5.8
7.4	0.28	0.42	19.8
6.2	0.28	0.22	7.3
9.1	0.59	0.38	1.6
6.3	0.33	0.27	1.2
8.3	0.39	0.7	10.6
7.2	0.19	0.46	3.8
7.5	0.17	0.44	11.3
6.7	0.17	0.5	2.1
6.1	0.41	0	1.6
8.3	0.2	0.35	0.9
6.1	0.41	0	1.6
6	0.29	0.21	1.3
7.3	0.41	0.24	6.8
7.3	0.41	0.24	6.8
7.2	0.43	0.24	6.7
7.3	0.4	0.24	6.7
6.2	0.33	0.27	4.9
6.2	0.31	0.26	4.8
6.1	0.36	0.27	2.1
5	0.55	0.14	8.3
7.8	0.25	0.41	3.7
5.7	0.36	0.21	6.7
5.8	0.34	0.21	6.6
6.8	0.28	0.6	1.1
6.8	0.25	0.34	4.7
6.6	0.24	0.35	7.7
5.9	0.3	0.47	7.85
6.1	0.125	0.25	3.3
6	0.1	0.24	1.1
6.6	0.24	0.35	7.7
6.8	0.25	0.34	4.7
6.8	0.28	0.44	9.3
8.3	0.41	0.51	2
7.5	0.27	0.31	5.8
7.9	0.26	0.41	15.15
6.4	0.34	0.23	6.3
6.5	0.28	0.35	15.4
7.2	0.21	0.41	1.3
6.4	0.32	0.35	4.8
6.8	0.24	0.34	4.6
6.3	0.23	0.3	1.8
6.5	0.28	0.34	9.9
5.6	0.26	0.26	5.7
6.3	0.23	0.3	1.8
6.3	0.23	0.33	1.5
5.8	0.27	0.27	12.3
5.9	0.26	0.4	1.3
6.6	0.18	0.35	1.5
7.4	0.2	0.43	7.8
8	0.24	0.36	1.5
6.4	0.26	0.42	9.7
5.4	0.31	0.47	3
5.4	0.29	0.47	3
7.1	0.145	0.33	4.6
5.6	0.34	0.1	1.3
6.7	0.19	0.41	15.6
7.8	0.18	0.46	13.6
7.6	0.17	0.45	11.2
6.3	0.12	0.36	2.1
7.3	0.33	0.4	6.85
5.5	0.335	0.3	2.5
7.3	0.33	0.4	6.85
5.8	0.4	0.42	4.4
7.3	0.22	0.37	14.3
7.3	0.22	0.37	14.3
6.1	0.36	0.33	1.1
10	0.2	0.39	1.4
6.9	0.24	0.34	4.7
6.4	0.24	0.32	14.9
7.1	0.365	0.14	1.2
6.8	0.15	0.3	5.3
7.3	0.22	0.37	14.3
6.8	0.16	0.4	2.3
6	0.26	0.32	3.5
6	0.18	0.27	1.5
6.9	0.33	0.21	1
7.7	0.29	0.48	2.3
7.1	0.39	0.35	12.5
6.9	0.33	0.21	1
7.7	0.29	0.48	2.3
6.6	0.905	0.19	0.8
7.2	0.27	0.27	2.4
5.1	0.33	0.22	1.6
5.1	0.33	0.22	1.6
6.4	0.31	0.28	1.5
7.3	0.2	0.44	1.4
5.7	0.32	0.5	2.6
6.4	0.31	0.28	1.5
7.3	0.2	0.44	1.4
7.2	0.28	0.26	12.5
7.5	0.35	0.28	9.6
7.2	0.27	0.27	2.4
6	0.36	0.39	3.2
5.1	0.33	0.22	1.6
5	0.17	0.56	1.5
6.3	0.39	0.35	5.9
6.7	0.21	0.32	5.4
7	0.3	0.38	14.9
7	0.3	0.38	14.9
6.5	0.36	0.32	1.1
6.1	0.55	0.15	9.8
7.3	0.24	0.43	2
6.8	0.37	0.51	11.8
6.8	0.27	0.12	1.3
8.2	0.28	0.42	1.8
6.3	0.2	0.4	1.5
5.9	0.26	0.27	18.2
6.4	0.19	0.42	2.9
6.3	0.2	0.4	1.5
6.8	0.37	0.51	11.8
6.1	0.35	0.07	1.4
7.1	0.27	0.31	18.2
6.8	0.22	0.31	6.3
6.8	0.27	0.12	1.3
5.8	0.28	0.34	4
6.9	0.49	0.24	1.2
6.3	0.14	0.39	1.2
8.2	0.28	0.42	1.8
7.2	0.25	0.39	18.95
7.3	0.28	0.36	12.7
7.2	0.19	0.39	1.2
7.2	0.19	0.39	1.2
7.2	0.25	0.39	18.95
7.3	0.28	0.36	12.7
7.4	0.21	0.27	1.2
6.8	0.26	0.22	7.7
7.4	0.21	0.27	1.2
7.4	0.31	0.28	1.6
7	0.22	0.31	2.7
7	0.21	0.28	8.7
7	0.21	0.28	8.6
7	0.21	0.28	8.6
6.9	0.23	0.38	8.3
7	0.21	0.28	8.7
7	0.21	0.28	8.6
6.8	0.29	0.5	13.3
7.8	0.21	0.27	1.2
7.1	0.31	0.47	13.6
6.8	0.29	0.5	13.3
6.4	0.34	0.1	1.1
7.4	0.155	0.34	2.3
7.2	0.55	0.09	1.5
7	0.23	0.36	7.1
6.9	0.2	0.37	6.2
6.1	0.28	0.32	2.5
6.6	0.16	0.32	1.4
7.4	0.155	0.34	2.3
6.2	0.35	0.04	1.2
6.7	0.22	0.37	1.6
6.1	0.38	0.2	6.6
6	0.25	0.28	2.2
6.6	0.52	0.44	12.2
6.9	0.24	0.36	20.8
7.1	0.32	0.32	11
5.8	0.28	0.27	2.6
6.5	0.41	0.24	14
6.5	0.41	0.24	14
6.4	0.28	0.29	1.6
7.2	0.6	0.2	9.9
6.1	0.2	0.25	1.2
5.9	0.46	0.14	2.7
6	0.27	0.27	1.6
6.4	0.28	0.29	1.6
6.4	0.41	0.24	14
6.3	0.23	0.31	1.5
7.1	0.21	0.27	8.6
6	0.37	0.32	1
6.1	0.43	0.35	9.1
7.1	0.21	0.27	8.6
7	0.25	0.29	15.2
5.9	0.25	0.19	12.4
6.8	0.32	0.21	2.2
7.2	0.39	0.62	11
6.3	0.21	0.58	10
7	0.14	0.32	9
6.8	0.32	0.21	2.2
7.2	0.39	0.62	11
7.2	0.29	0.53	18.15
8.6	0.37	0.7	12.15
6.5	0.38	0.34	3.4
6.6	0.24	0.29	2
7	0.17	0.31	4.8
5.5	0.16	0.22	4.5
7	0.24	0.51	11
7.4	0.28	0.36	1.1
7	0.22	0.28	1.5
7.1	0.55	0.13	1.7
6.3	0.22	0.33	1.7
6.7	0.47	0.34	8.9
5.9	0.36	0.41	1.3
5.8	0.25	0.24	13.3
6.7	0.47	0.34	8.9
6.2	0.37	0.3	6.6
6.2	0.18	0.38	1.5
6	0.16	0.37	1.5
6.6	0.34	0.28	1.3
7.4	0.29	0.29	1.6
7.4	0.26	0.31	7.6
7	0.28	0.36	1
7.1	0.23	0.39	1.6
7.8	0.19	0.26	8.9
6.3	0.19	0.28	1.8
6.8	0.2	0.38	4.7
5.7	0.44	0.13	7
7.2	0.4	0.62	10.8
6.8	0.23	0.32	1.6
5.7	0.335	0.34	1
7.2	0.4	0.62	10.8
7.2	0.28	0.54	16.7
6.8	0.19	0.58	14.2
6.4	0.3	0.3	2.25
6.5	0.3	0.29	2.25
7.8	0.18	0.31	12.2
7.8	0.18	0.31	12.2
7.3	0.51	0.26	3.3
6	0.24	0.27	1.9
5.9	0.62	0.28	3.5
6	0.24	0.27	1.9
6.7	0.27	0.12	1.3
7.8	0.34	0.35	1.8
7.3	0.26	0.36	5.2
7.4	0.36	0.33	1.4
7.8	0.28	0.32	9
6.1	0.31	0.26	2.2
6.8	0.18	0.37	1.6
7.4	0.15	0.42	1.7
5.9	0.13	0.28	1.9
7.2	0.34	0.34	12.6
7.9	0.19	0.26	2.1
7.9	0.19	0.26	2.1
6.9	0.25	0.4	1.3
5.8	0.36	0.32	1.7
5.6	0.35	0.37	1
5.9	0.32	0.39	3.3
7.2	0.31	0.46	5
6.1	0.28	0.22	1.8
5.2	0.36	0.02	1.6
5.6	0.19	0.47	4.5
6.4	0.1	0.35	4.9
6.4	0.18	0.48	4
7.4	0.25	0.36	13.2
7.4	0.25	0.36	13.2
7.4	0.25	0.36	13.2
7.9	0.345	0.51	15.3
7.9	0.345	0.51	15.3
7.4	0.25	0.36	13.2
6.1	0.24	0.3	1.5
6.8	0.25	0.24	4.55
6.7	0.31	0.31	9.9
7.2	0.46	0.65	10.4
5.5	0.35	0.35	1.1
6.7	0.24	0.41	8.7
6.8	0.28	0.17	13.9
6.4	0.16	0.22	1.4
6.3	0.26	0.24	7.2
7.7	0.22	0.42	1.9
6.5	0.18	0.31	1.7
7.2	0.46	0.65	10.4
7	0.3	0.51	13.6
9.2	0.25	0.34	1.2
7.8	0.28	0.34	1.6
7	0.3	0.51	13.6
7.8	0.28	0.34	1.6
9.2	0.25	0.34	1.2
8.4	0.35	0.71	12.2
6.1	0.41	0.24	1.6
5.9	0.21	0.24	12.1
7.2	0.34	0.44	4.2
6.7	0.21	0.42	9.1
5.9	0.37	0.1	1.6
7.7	0.34	0.27	8.8
7.4	0.3	0.22	1.4
6.8	0.51	0.3	4.2
7.8	0.22	0.38	10.3
7.2	0.35	0.34	12.4
6	0.26	0.5	2.2
6.1	0.26	0.51	2.2
6.5	0.28	0.27	5.2
7.4	0.41	0.66	10.8
6.5	0.28	0.29	2.7
6.7	0.34	0.54	16.3
7.2	0.2	0.34	2.7
7.4	0.2	0.33	1.9
8.2	0.22	0.3	1.8
8.2	0.23	0.29	1.8
7.1	0.22	0.33	2.8
6.5	0.28	0.29	2.7
6	0.38	0.26	6
7.4	0.41	0.66	10.8
5.7	0.18	0.22	4.2
7.3	0.3	0.22	6.4
7.4	0.24	0.22	10.7
6.6	0.25	0.3	1.6
7.4	0.24	0.22	10.7
7.4	0.26	0.3	7.9
6.1	0.32	0.25	1.7
6.9	0.28	0.27	2.1
7	0.23	0.33	5.8
7.1	0.31	0.5	14.5
7.3	0.2	0.37	1.2
6.9	0.41	0.33	10.1
6.4	0.45	0.07	1.1
6.4	0.475	0.06	1
6.3	0.27	0.38	0.9
6.9	0.41	0.33	10.1
7	0.29	0.37	4.9
5.9	0.27	0.29	11.4
6.9	0.19	0.4	1.4
6.7	0.3	0.35	1.4
7.2	0.24	0.4	1.4
6.4	0.45	0.07	1.1
6.4	0.475	0.06	1
6.3	0.26	0.49	1.5
6.3	0.26	0.49	1.5
7.3	0.25	0.29	7.5
7.3	0.25	0.29	7.5
6.1	0.28	0.25	17.75
7.4	0.37	0.35	5.7
6.5	0.36	0.28	3.2
7.4	0.24	0.4	4.3
7.5	0.23	0.68	11
7.5	0.21	0.68	10.9
7.5	0.21	0.68	10.9
7.5	0.23	0.68	11
7.8	0.32	0.33	2.4
7.8	0.26	0.27	1.9
7.7	0.24	0.27	1.8
7.4	0.19	0.3	1.4
6.5	0.46	0.41	16.8
6.5	0.26	0.43	8.9
5.3	0.32	0.12	6.6
7.2	0.24	0.34	1.1
6	0.36	0.06	1.4
6.2	0.24	0.29	13.3
7.6	0.56	0.12	10.4
7	0.32	0.24	6.2
7	0.32	0.24	6.2
5.8	0.31	0.33	1.2
7	0.23	0.42	18.05
7	0.23	0.42	18.05
6.9	0.24	0.33	4.8
6	0.29	0.2	12.6
6.1	0.17	0.28	4.5
5.9	0.14	0.25	4.5
6.2	0.17	0.28	4.7
7.4	0.28	0.25	11.9
5.6	0.35	0.14	5
5.8	0.335	0.14	5.8
5.6	0.235	0.29	1.2
6.1	0.28	0.25	12.9
6.3	0.21	0.33	13.9
6.4	0.24	0.28	11.5
6.4	0.24	0.29	11.4
6.3	0.26	0.25	7.8
6.5	0.33	0.72	1.1
7.4	0.105	0.34	12.2
6	0.32	0.12	5.9
7.1	0.26	0.34	14.4
7.1	0.26	0.34	14.4
7.1	0.26	0.34	14.4
7.1	0.26	0.34	14.4
5.9	0.24	0.26	12.3
6.5	0.21	0.37	2.5
7.7	0.27	0.35	5.3
9	0.27	0.35	4.9
7.3	0.34	0.21	3.2
6.6	0.27	0.25	3.1
6.8	0.29	0.16	1.4
7.1	0.28	0.26	1.9
6.8	0.25	0.34	14
7	0.57	0.1	8.3
7.1	0.28	0.26	1.9
7.1	0.17	0.38	7.4
7.8	0.28	0.22	1.4
6.8	0.22	0.37	1.7
7.1	0.17	0.38	7.4
6.1	0.14	0.25	1.3
6.4	0.24	0.5	11.6
7.8	0.42	0.26	9.2
6.6	0.28	0.36	1.7
7.1	0.32	0.34	14.5
6.7	0.31	0.3	2.1
6.4	0.32	0.5	10.7
6.1	0.28	0.25	6.9
5.9	0.29	0.25	12
5.8	0.32	0.38	4.75
5.8	0.32	0.38	4.75
5.7	0.32	0.38	4.75
6.7	0.28	0.14	1.4
6.8	0.34	0.69	1.3
5.9	0.25	0.25	11.3
6.4	0.27	0.32	4.5
8.1	0.46	0.31	1.7
6.2	0.36	0.26	13.2
6.8	0.22	0.35	5.5
6.8	0.67	0.3	13
7.2	0.28	0.3	10.7
6.7	0.17	0.37	2
6.9	0.2	0.34	1.9
6.1	0.36	0.16	6.4
6	0.36	0.16	6.3
5.9	0.37	0.14	6.3
7.6	0.29	0.58	17.5
6.3	0.34	0.28	14.7
6.7	0.19	0.34	1
7.5	0.31	0.51	14.8
7.5	0.31	0.51	14.8
7.4	0.31	0.48	14.2
8.4	0.4	0.7	13.1
5.9	0.34	0.22	2.4
6.6	0.38	0.18	1.2
6.4	0.33	0.28	1.1
5.6	0.25	0.26	3.6
8.6	0.27	0.46	6.1
6.2	0.31	0.21	6.3
7.2	0.18	0.45	4.4
7.7	0.2	0.44	13.9
6.2	0.47	0.21	1
6.1	0.25	0.24	12.1
8.2	0.27	0.43	1.6
8.2	0.27	0.43	1.6
6.4	0.31	0.39	7.5
6	0.39	0.26	2.7
6.2	0.21	0.27	1.7
7.7	0.42	0.31	9.2
7	0.27	0.41	18.75
6.2	0.21	0.27	1.7
7.4	0.29	0.5	1.8
6.6	0.29	0.44	9
6	0.3	0.44	1.5
6.9	0.31	0.34	1.6
6.6	0.33	0.31	1.3
7.8	0.3	0.4	1.8
6.4	0.39	0.21	1.2
6.4	0.24	0.31	2.8
7	0.21	0.34	8
6.4	0.16	0.31	5.3
6	0.33	0.27	0.8
6.5	0.23	0.33	13.8
6.2	0.25	0.48	10
8.8	0.28	0.45	6
6.6	0.25	0.3	14.4
6.9	0.38	0.25	9.8
6.4	0.25	0.3	5.5
6.6	0.25	0.3	14.4
6.9	0.38	0.25	9.8
7.1	0.21	0.31	3.8
6.4	0.25	0.3	5.5
6.9	0.39	0.4	4.6
5.8	0.2	0.3	1.5
7	0.2	0.37	2
5.9	0.26	0.25	12.5
7.4	0.38	0.27	7.5
7.4	0.2	1.66	2.1
7	0.21	0.34	8.5
7.2	0.29	0.4	7.6
6.9	0.18	0.38	8.1
7.3	0.3	0.42	7.35
7.2	0.29	0.4	7.6
6.9	0.2	0.5	10
6.7	0.2	0.42	14
7	0.21	0.34	8.5
5.9	0.35	0.47	2.2
7.1	0.28	0.44	1.8
5.8	0.25	0.28	11.1
6.8	0.22	0.37	15.2
7.1	0.14	0.4	1.2
7.1	0.13	0.4	1.2
6.9	0.18	0.38	8.1
7	0.2	0.38	8.1
6.8	0.24	0.49	19.3
5	0.44	0.04	18.6
6.3	0.3	0.28	5
7.2	0.27	0.42	1.6
6.7	0.5	0.63	13.4
6.8	0.2	0.36	1.6
6.7	0.11	0.34	8.8
6.7	0.11	0.34	8.8
6.8	0.12	0.31	5.2
6.6	0.16	0.57	1.1
6.6	0.21	0.6	1.1
6.1	0.27	0.3	16.7
9.1	0.27	0.45	10.6
6.4	0.225	0.48	2.2
8.3	0.14	0.45	1.5
7.2	0.23	0.19	13.7
6.9	0.22	0.37	15
8.1	0.17	0.44	14.1
6	0.395	0	1.4
7.8	0.29	0.22	9.5
6.9	0.22	0.37	15
8.1	0.17	0.44	14.1
7.2	0.23	0.19	13.7
7.6	0.3	0.27	10.6
7.7	0.34	0.28	11
7.7	0.34	0.28	11
5.8	0.34	0.16	7
7.6	0.3	0.27	10.6
7.7	0.34	0.28	11
5.9	0.24	0.3	2
6.4	0.46	0.08	4.9
5.9	0.24	0.3	2
7.4	0.32	0.27	1.4
7.2	0.31	0.26	7.3
7.8	0.42	0.23	8.8
6.9	0.24	0.33	12.5
5.4	0.18	0.24	4.8
6	0.18	0.31	1.4
7.8	0.27	0.58	11.2
6	0.28	0.49	6.8
6.8	0.39	0.35	11.6
6.6	0.21	0.31	11.4
7.3	0.32	0.34	6.6
7.8	0.27	0.58	11.2
6.4	0.31	0.26	13.2
6.2	0.29	0.26	13.1
6	0.39	0.17	12
6.2	0.3	0.26	13.4
6	0.28	0.49	6.8
6	0.41	0.05	1.5
6.4	0.35	0.28	1.1
6.5	0.26	0.32	16.5
7.9	0.35	0.24	15.6
6.2	0.3	0.17	2.8
8.4	0.18	0.42	5.1
6.6	0.56	0.22	8.9
6.2	0.3	0.17	2.8
6.6	0.56	0.22	8.9
6.6	0.36	0.29	1.6
7.3	0.655	0.2	10.2
6.8	0.18	0.21	5.4
6.7	0.19	0.23	6.2
8.4	0.18	0.42	5.1
7	0.21	0.37	7.2
6.8	0.25	0.38	8.1
7.4	0.24	0.36	2
7.1	0.16	0.36	10.7
7.1	0.16	0.36	1.2
7.3	0.205	0.31	1.7
7.4	0.17	0.4	5.5
7.3	0.3	0.34	2.7
6.9	0.25	0.34	1.3
7.3	0.205	0.31	1.7
7.5	0.42	0.34	4.3
7.3	0.25	0.36	2.1
7.3	0.25	0.36	2.1
7.3	0.25	0.36	2.1
7.5	0.34	0.35	6
7.6	0.33	0.35	6.3
8.7	0.23	0.32	13.4
8.7	0.23	0.32	13.4
6.9	0.19	0.35	1.7
7.3	0.21	0.29	1.6
7.3	0.21	0.29	1.6
6.6	0.22	0.37	15.4
9.2	0.34	0.27	1.2
8.7	0.23	0.32	13.4
6	0.2	0.24	1.8
6.9	0.19	0.35	1.7
8.2	0.38	0.49	13.6
6.9	0.18	0.36	1.3
7.7	0.34	0.58	11.1
6.9	0.18	0.36	1.3
7.4	0.2	0.35	2.1
8.2	0.38	0.49	13.6
8.2	0.4	0.48	13.7
6.7	0.22	0.39	10.2
6.6	0.3	0.3	4.8
8.1	0.27	0.35	1.7
7.3	0.25	0.42	14.2
4.8	0.34	0	6.5
6.2	0.28	0.33	1.7
4.8	0.33	0	6.5
6.1	0.27	0.33	2.2
6.9	0.18	0.36	1.3
7.8	0.18	0.46	12.6
7.3	0.28	0.42	14.4
7.3	0.24	0.29	1.2
6	0.45	0.65	9.7
7.7	0.34	0.58	11.1
6.3	0.26	0.21	4
10.3	0.17	0.47	1.4
7.7	0.15	0.29	1.3
7.1	0.21	0.32	2.2
6.9	0.36	0.34	4.2
6	0.28	0.34	1.6
6.2	0.16	0.54	1.4
6.9	0.12	0.36	2.2
7.1	0.21	0.32	2.2
8.8	0.36	0.44	1.9
7.4	0.26	0.43	6
7.4	0.26	0.43	6
6.8	0.23	0.29	12.2
6.1	0.34	0.27	2.6
7.3	0.26	0.31	1.6
6.5	0.3	0.32	2
7.3	0.26	0.31	1.6
6.5	0.3	0.32	2
5	0.31	0	6.4
5.8	0.26	0.18	1.2
5.9	0.26	0.3	1
7	0.31	0.29	1.4
5.8	0.26	0.18	1.2
